image,x,y,x_gt,y_gt
img_1.jpg,-0.01,17,0,16.5
img_2.jpg,-0.36,20.54,0,19.5
img_3.jpg,0.01,24.06,0,22.5
img_4.jpg,3.58,23.83,3,22.5
img_5.jpg,6.81,23.98,6,22.5
img_6.jpg,6.83,16.74,6,16.5
img_7.jpg,10.35,16.85,9,16.5
img_8.jpg,13.27,20.4,12,19.5
img_9.jpg,13.22,23.9,12,22.5
img_10.jpg,13.43,27.04,12,25.5
img_11.jpg,10.04,27.02,9,25.5
img_12.jpg,-13.52,20.23,-12,19.5
img_13.jpg,-16.53,26.83,-15,25.5
img_14.jpg,-13.5,20.32,-12,19.5
img_15.jpg,-19.92,20.11,-18,19.5
img_16.jpg,-20.02,23.19,-18,22.5
img_17.jpg,-15.52,19.73,-13.5,19.5
img_18.jpg,4.97,16.96,4.5,16.5
img_19.jpg,4.72,23.69,4.5,22.5
img_20.jpg,11.38,23.78,10.5,22.5